iter	Passed	Remaining
748	5434	1821
749	5443	1814
750	5449	1806
751	5454	1798
752	5461	1791
753	5468	1784
754	5476	1777
755	5481	1769
756	5487	1761
757	5494	1754
758	5499	1746
759	5505	1738
760	5512	1731
761	5520	1724
762	5530	1717
763	5535	1709
764	5541	1702
765	5550	1695
766	5558	1688
767	5563	1680
768	5568	1672
769	5575	1665
770	5585	1658
771	5592	1651
772	5600	1644
773	5607	1637
774	5611	1629
775	5619	1622
776	5624	1614
777	5631	1607
778	5637	1599
779	5644	1592
780	5652	1584
781	5659	1577
782	5664	1569
783	5673	1562
784	5680	1555
785	5688	1548
786	5695	1541
787	5702	1534
788	5707	1526
789	5712	1518
790	5717	1510
791	5726	1503
792	5733	1496
793	5740	1489
794	5747	1482
795	5752	1474
796	5760	1467
797	5767	1459
798	5773	1452
799	5779	1444
800	5786	1437
801	5793	1430
802	5800	1423
803	5806	1415
804	5814	1408
805	5821	1401
806	5835	1395
807	5842	1388
808	5850	1381
809	5855	1373
810	5861	1366
811	5868	1358
812	5874	1351
813	5881	1343
814	5887	1336
815	5894	1329
816	5901	1321
817	5907	1314
818	5912	1306
819	5919	1299
820	5926	1292
821	5934	1285
822	5942	1277
823	5949	1270
824	5956	1263
825	5964	1256
826	5970	1248
827	5977	1241
828	5984	1234
829	5991	1227
830	5998	1219
831	6005	1212
832	6012	1205
833	6017	1197
834	6024	1190
835	6032	1183
836	6037	1175
837	6043	1168
838	6048	1160
839	6052	1152
840	6060	1145
841	6066	1138
842	6073	1131
843	6081	1124
844	6086	1116
845	6092	1109
846	6097	1101
847	6103	1094
848	6109	1086
849	6114	1079
850	6119	1071
851	6127	1064
852	6133	1057
853	6139	1049
854	6147	1042
855	6152	1034
856	6159	1027
857	6164	1020
858	6171	1013
859	6176	1005
860	6183	998
861	6189	990
862	6196	983
863	6203	976
864	6214	969
865	6220	962
866	6227	955
867	6234	948
868	6240	940
869	6249	933
870	6257	926
871	6262	919
872	6270	912
873	6277	904
874	6287	898
875	6299	891
876	6306	884
877	6311	876
878	6316	869
879	6323	862
880	6329	855
881	6337	847
882	6344	840
883	6351	833
884	6357	826
885	6364	818
886	6369	811
887	6377	804
888	6383	797
889	6390	789
890	6398	782
891	6405	775
892	6414	768
893	6423	761
894	6428	754
895	6438	747
896	6446	740
897	6453	732
898	6460	725
899	6470	718
900	6478	711
901	6487	704
902	6496	697
903	6505	690
904	6512	683
905	6524	676
906	6532	669
907	6540	662
908	6549	655
909	6556	648
910	6564	641
911	6572	634
912	6582	627
913	6589	620
914	6601	613
915	6609	606
916	6621	599
917	6628	592
918	6640	585
919	6648	578
920	6657	571
921	6666	563
922	6671	556
923	6680	549
924	6688	542
925	6697	535
926	6702	527
927	6712	520
928	6717	513
929	6724	506
930	6730	498
931	6739	491
932	6747	484
933	6758	477
934	6766	470
935	6775	463
936	6785	456
937	6792	448
938	6797	441
939	6809	434
940	6816	427
941	6822	420
942	6827	412
943	6832	405
944	6840	398
945	6845	390
946	6853	383
947	6858	376
948	6867	369
949	6872	361
950	6877	354
951	6883	347
952	6891	339
953	6898	332
954	6904	325
955	6910	318
956	6915	310
957	6923	303
958	6932	296
959	6938	289
960	6947	281
961	6954	274
962	6960	267
963	6966	260
964	6974	252
965	6984	245
966	6993	238
967	7002	231
968	7012	224
969	7020	217
970	7026	209
971	7033	202
972	7040	195
973	7047	188
974	7054	180
975	7064	173
976	7073	166
977	7084	159
978	7094	152
979	7102	144
980	7113	137
981	7118	130
982	7128	123
983	7133	115
984	7139	108
985	7147	101
986	7155	94
987	7163	87
988	7173	79
989	7180	72
990	7191	65
991	7196	58
992	7205	50
993	7211	43
994	7220	36
995	7227	29
996	7235	21
997	7245	14
998	7251	7
999	7258	0
